LegID;FltNbr;LegOrig;LegDest;LegETD;LegETA;AcftType;Acft;Crew;AvailableSeatsEconomy;AvailableSeatsBusiness
183;4392;ATL;MIA;2016-04-01 19:18:00;2016-04-01 21:11:00;E175;136;67;22;4
184;4229;MIA;ORF;2016-04-01 21:54:00;2016-04-02 00:15:00;E175;136;67;19;5
185;4238;IND;MIA;2016-04-01 07:30:00;2016-04-01 10:23:00;E175;120;68;6;3
186;4242;MIA;MHH;2016-04-01 11:10:00;2016-04-01 12:09:00;E175;120;68;3;1
187;4242;MHH;MIA;2016-04-01 12:49:00;2016-04-01 13:48:00;E175;120;68;19;5
188;4259;MIA;MSY;2016-04-01 15:20:00;2016-04-01 17:38:00;E175;120;68;6;0
189;4259;MSY;MIA;2016-04-01 18:45:00;2016-04-01 20:42:00;E175;120;69;16;2
190;4230;MIA;CLE;2016-04-01 21:59:00;2016-04-02 00:57:00;E175;120;69;19;1
191;4324;NAS;MIA;2016-04-01 07:00:00;2016-04-01 08:04:00;E175;138;70;22;1
192;4288;MIA;CLE;2016-04-01 09:25:00;2016-04-01 12:23:00;E175;138;70;6;1
193;4276;CLE;JFK;2016-04-01 13:00:00;2016-04-01 14:38:00;E175;138;70;3;3
194;4276;JFK;CLE;2016-04-01 15:25:00;2016-04-01 17:16:00;E175;138;70;10;2
195;4297;CLE;MIA;2016-04-01 17:49:00;2016-04-01 20:50:00;E175;138;71;26;3
196;4372;MIA;EYW;2016-04-01 21:34:00;2016-04-01 22:32:00;E175;138;71;6;4
197;4225;MIA;MSY;2016-04-01 09:30:00;2016-04-01 11:55:00;E175;139;72;6;3
198;4225;MSY;MIA;2016-04-01 12:30:00;2016-04-01 14:25:00;E175;139;72;6;0
199;4287;MIA;RIC;2016-04-01 17:00:00;2016-04-01 19:17:00;E175;139;72;19;4
200;4227;DCA;JFK;2016-04-01 06:00:00;2016-04-01 07:14:00;E175;131;73;0;2
201;4367;JFK;DCA;2016-04-01 07:55:00;2016-04-01 09:16:00;E175;131;73;13;1
202;4258;DCA;STL;2016-04-01 10:17:00;2016-04-01 12:50:00;E175;131;73;19;4
203;4268;STL;DCA;2016-04-01 13:20:00;2016-04-01 15:19:00;E175;131;73;26;2
204;4394;DCA;STL;2016-04-01 15:59:00;2016-04-01 18:30:00;E175;131;74;3;2
205;4330;STL;DCA;2016-04-01 19:10:00;2016-04-01 21:11:00;E175;131;74;26;5
206;4389;DCA;CMH;2016-04-01 22:05:00;2016-04-01 23:30:00;E175;131;74;19;4
207;4280;EYW;MIA;2016-04-01 07:40:00;2016-04-01 08:27:00;E175;141;75;16;1
208;4265;MIA;ORF;2016-04-01 11:05:00;2016-04-01 13:24:00;E175;141;75;6;1
209;4265;ORF;JFK;2016-04-01 14:10:00;2016-04-01 15:37:00;E175;141;75;0;1
210;4377;JFK;DCA;2016-04-01 16:29:00;2016-04-01 17:50:00;E175;141;75;19;4
211;4377;DCA;JFK;2016-04-01 19:25:00;2016-04-01 21:03:00;E175;141;76;19;3
212;4358;JFK;DCA;2016-04-01 21:43:00;2016-04-01 22:59:00;E175;141;76;10;2
213;4332;CMH;DCA;2016-04-01 07:59:00;2016-04-01 09:24:00;E175;142;77;6;3
214;4255;DCA;JFK;2016-04-01 10:04:00;2016-04-01 11:17:00;E175;142;77;13;3
215;4234;JFK;DCA;2016-04-01 11:57:00;2016-04-01 13:12:00;E175;142;77;10;0
216;4234;DCA;JFK;2016-04-01 13:52:00;2016-04-01 14:59:00;E175;142;77;3;2
217;4246;JFK;ORF;2016-04-01 15:55:00;2016-04-01 17:21:00;E175;142;77;13;3
218;4246;ORF;MIA;2016-04-01 18:00:00;2016-04-01 20:31:00;E175;142;78;0;2
219;4231;MIA;MEM;2016-04-01 21:34:00;2016-04-02 00:17:00;E175;142;78;0;1
